Person,Group,StartDate,EndDate
Laurea in Linguistica,Universita' di Padova,2006-10-01,2009-09-23
Laurea in NLP,Universita' di Padova,2009-10-01,2011-11-23
Diploma Galileiano di Studi Superiori,Scuola Galileiana,2006-10-01,2013-03-11
